SampleID,ShortName,SumOfAmount,CountOfUse Component,SumOfArea
50133,11,0.106021,92,764187334
50134,13,0.115351,90,892048423
50135,14,6.78E-02,67,85925215
50136,15,9.40E-02,74,369784491
50137,16,0.138727,85,243477566
50138,18,4.91E-02,46,58233583
50139,19,0.127207,74,198805526
50140,21,4.85E-02,51,29527144
50141,23,5.47E-02,37,27392432
50142,25,4.81E-02,42,23307407
50143,28,6.69E-02,58,97682616
50144,31,5.09E-02,39,21650006
50145,32,6.13E-02,51,36864112
50146,34,5.98E-02,44,44283206
50147,35,4.85E-02,41,38732847
50148,3,6.33E-02,59,216186409
50149,4,6.24E-02,67,162473175
50150,40,9.63E-02,72,124919924
50151,41,8.35E-02,65,111041157
50152,42,6.62E-02,44,47512343
50153,43,7.25E-02,50,61929937
50154,44,5.58E-02,51,30658437
50155,46,0.10869,79,181716026
50156,5,7.34E-02,66,370930774
50157,6,9.35E-02,76,669808019
50158,8,5.99E-02,66,298219103
