compound,pre,post,Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(ISTD) 3-Ethoxy-4-methoxybenzaldehyde,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(ISTD) Ethyl vanillin,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,2,3-Benzenetriol",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,2-Benzenediol, 3-methoxy-",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,2-Benzenediol, 4-methyl- (Homocatechol)",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,2-Cyclohexanedione",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,2-Cyclopentanedione, 3-methyl-",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,3,5-Cycloheptatriene",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,3-Butadiene",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,4-Benzenediamine",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1-Butyne, 3,3-dimethyl-",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Heptene,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Hexadecene,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1-Hexene, 3-methyl-",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1H-Inden-1-one, 2,3-dihydro-",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1H-Indene, 5,6-dimethoxy-",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1H-Pyrrole, 1-methyl-",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1H-Pyrrole, 2-methyl-",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1H-Pyrrole, 3-methyl-",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1H-Pyrrole-2-carboxaldehyde, 1-methyl-",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1H-Tetrazole, 1-methyl-",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1-Pentene, 3-ethyl-2-methyl-",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Undecanol,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2(3H)-Benzofuranone, 3-methyl-",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2(3H)-Furanone, 5-methyl-",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2(5H)-Furanone,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2(5H)-Furanone, 5-methyl-",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,3,5-Trimethylnaphthalene",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,5-Furandione, 3-methyl-",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Acetylfuran,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2-Butanone, 3,3-dimethyl-",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
