Compound,Type,Source,16iih,21iih,23iih,28iih,34iih,35iih,3iih,41iih,42iih,44iih,4iih,6iih
"Phenol, 3,4-dimethyl-",Aromatic,Aromatic,0.19%,0.31%,1.29%,0.96%,0.80%,0.62%,0.73%,0.63%,0.57%,0.23%,0.11%,0.43%
m-xylene,Aromatic,Aromatic,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
"Benzene, 1,2,3-trimethyl-",Aromatic,Aromatic,0.01%,0.00%,0.00%,0.00%,0.01%,0.00%,0.01%,0.00%,0.00%,0.03%,0.00%,0.00%
2H-1-Benzopyran-2-one,Aromatic,Aromatic,0.00%,0.06%,0.04%,0.05%,0.00%,0.04%,0.04%,0.04%,0.00%,0.04%,0.00%,0.05%
Benzaldehyde,Aromatic,Aromatic,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.03%,0.00%,0.00%,0.03%,0.00%,0.00%
"Benzene, (1-methylethyl)-",Aromatic,Aromatic,0.00%,0.00%,0.05%,0.02%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%
Benzofuran,Aromatic,Aromatic,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%
Fluorene,Aromatic,Aromatic,0.00%,0.10%,0.04%,0.11%,0.00%,0.06%,0.09%,0.02%,0.05%,0.14%,0.15%,0.00%
Naphthalene,Aromatic,Aromatic,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%
"Naphthalene, 1,2-dihydro-4-methyl-",Aromatic,Aromatic,0.00%,0.00%,0.00%,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.00%,0.00%
"Phenol, 2,6-dimethoxy-4-(2-propenyl)- (Methoxyeugenol)",Aromatic,Lignin,18.64%,19.91%,17.59%,18.28%,23.52%,19.02%,18.97%,26.17%,21.21%,18.00%,20.66%,19.16%
"Phenol, 2-methoxy-4-(1Z)-1-propen-1-yl- (cis-Isoeugenol)",Aromatic,Lignin,8.02%,6.64%,4.81%,3.33%,4.18%,3.95%,7.15%,3.10%,3.34%,5.78%,5.40%,3.27%
"Phenol, 2,6-dimethoxy- (Syringol)",Aromatic,Lignin,4.66%,6.21%,5.72%,3.51%,6.17%,2.85%,7.54%,2.83%,3.18%,5.26%,5.62%,2.80%
"2-Propanone, 1-(4-hydroxy-3-methoxyphenyl)- (Guaiacylacetone)",Aromatic,Lignin,4.54%,3.19%,2.37%,3.40%,1.93%,3.37%,3.00%,2.50%,4.39%,3.56%,2.17%,3.50%
"1,2-Benzenediol, 4-methyl- (Homocatechol)",Aromatic,Lignin,4.16%,3.46%,2.61%,3.90%,3.67%,5.79%,4.11%,5.13%,4.78%,7.28%,4.65%,5.28%
"Ethanone, 1-(4-hydroxy-3-methoxyphenyl)-  (Acetovanillone)",Aromatic,Lignin,4.00%,2.48%,1.53%,2.39%,1.59%,3.07%,2.55%,3.37%,3.07%,3.29%,2.27%,2.89%
"Phenol, 4-ethyl-2,6-dimethoxy- (Ethylsyringol)",Aromatic,Lignin,3.04%,2.14%,0.76%,2.50%,3.01%,0.39%,3.20%,0.20%,1.02%,1.31%,1.83%,1.17%
"Benzaldehyde, 4-hydroxy-3-methoxy- (Vanillin)",Aromatic,Lignin,2.91%,4.01%,2.83%,3.63%,2.52%,4.47%,3.25%,4.81%,5.20%,4.46%,3.93%,4.67%
"Benzaldehyde, 4-hydroxy-3,5-dimethoxy- (Syringaldehyde)",Aromatic,Lignin,1.77%,1.82%,2.17%,2.95%,3.78%,3.09%,1.57%,2.92%,2.54%,2.35%,2.28%,2.01%
"Benzeneacetic acid, 4-hydroxy-3-methoxy- (Homovanillic acid)",Aromatic,Lignin,0.87%,0.53%,0.34%,0.89%,0.32%,0.95%,0.37%,0.82%,0.73%,0.92%,0.51%,0.64%
"Ethanone, 1-(4-hydroxy-3,5-dimethoxyphenyl)- (Acetosyringone)",Aromatic,Lignin,0.84%,0.96%,0.70%,1.47%,2.21%,1.29%,0.61%,0.96%,0.87%,0.80%,0.98%,1.03%
"Phenol, 2-methoxy-4-(2-propenyl)- (4-Eugenol)",Aromatic,Lignin,0.31%,0.72%,0.15%,0.31%,0.82%,0.28%,0.31%,0.14%,0.23%,1.00%,0.58%,0.51%
"Phenol, 2-methoxy- (Guaiacol)",Aromatic,Lignin,0.26%,0.33%,0.00%,0.83%,0.26%,0.60%,0.31%,0.35%,0.39%,0.79%,0.29%,0.31%
Ethylphenol,Aromatic,Lignin,0.20%,0.37%,0.59%,0.59%,0.25%,0.49%,0.34%,0.36%,0.31%,0.54%,0.29%,0.24%
"Phenol, 4-ethyl-2-methoxy- (Ethylguaiacol)",Aromatic,Lignin,0.11%,0.36%,0.15%,0.12%,0.32%,0.10%,0.66%,0.08%,0.11%,0.54%,0.17%,0.24%
"Phenol, 2-Methoxy-4-vinyl- (Vinylguaiacol)",Aromatic,Lignin,0.07%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
"Benzoic acid, 4-hydroxy-3-methoxy-Vanillic acid)",Aromatic,Lignin,0.04%,0.04%,0.00%,0.00%,0.16%,0.00%,0.03%,0.00%,0.16%,0.16%,0.23%,0.00%
"Phenol, 2-methoxy-4-(1-propenyl)- (4-Isoeugenol)",Aromatic,Lignin,0.00%,0.00%,0.00%,0.00%,0.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
"Phenol, 2-methoxy-4-methyl- (4-Methylguaiacol)",Aromatic,Lignin,0.00%,0.04%,0.02%,0.07%,0.00%,0.01%,0.00%,0.02%,0.06%,0.03%,0.06%,0.04%
"Phenol, 2-methoxy-4-propyl- (4-Guaiacylpropane)",Aromatic,Lignin,0.00%,0.00%,0.10%,0.09%,0.02%,0.09%,0.00%,0.08%,0.06%,0.17%,0.05%,0.19%
"Ethanone, 1-(3,4-dimethoxyphenyl)-",Aromatic,Lignin+TMAH,21.11%,19.11%,13.57%,11.32%,21.73%,10.44%,18.84%,13.90%,15.10%,13.10%,20.00%,17.87%
"Benzoic acid, 4-hydroxy-3-methoxy-, methyl ester (Vanillic Acid, methyl est)",Aromatic,Lignin+TMAH,1.14%,0.42%,0.27%,0.94%,0.00%,0.96%,0.00%,0.01%,0.00%,0.48%,0.00%,0.00%
"Benzaldehyde 3,4-dimethoxy",Aromatic,Lignin+TMAH,0.65%,0.63%,0.69%,0.90%,1.36%,1.18%,0.74%,0.75%,0.79%,0.69%,1.03%,0.83%
"2-Propanone, 1-(4-methoxyphenyl)-",Aromatic,Lignin+TMAH,0.13%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.29%,0.25%
"3,4-Dimethoxyphenylacetone",Aromatic,Lignin+TMAH,0.11%,0.14%,0.01%,0.00%,0.00%,0.05%,0.13%,0.04%,0.00%,0.17%,0.12%,0.17%
"Benzaldehyde, 4-methoxy-",Aromatic,Lignin+TMAH,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.00%,0.00%
"Benzene, 1,2-dimethoxy-4-(1-propen-1-yl)- (Methylisoeugenol)",Aromatic,Lignin+TMAH,0.00%,0.10%,0.00%,0.00%,0.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
"Benzene, 4-ethenyl-1,2-dimethoxy-",Aromatic,Lignin+TMAH,0.00%,0.03%,0.00%,0.00%,0.08%,0.00%,0.16%,0.00%,0.00%,0.00%,0.00%,0.07%
"Ethanone, 1-(3,4,5-trimethoxyphenyl)-",Aromatic,Lignin+TMAH,0.00%,0.01%,0.00%,0.01%,0.00%,0.00%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%
"Hexadecanoic acid, methyl ester (Palmitic acid-C16)",FAME,Lipid,4.84%,5.55%,12.41%,15.39%,3.76%,20.48%,5.12%,12.17%,12.22%,9.90%,6.25%,9.93%
n-Tricosane (C23),Aliphatic,Lipid,0.03%,0.00%,0.12%,0.07%,0.00%,0.00%,0.00%,0.10%,0.10%,0.04%,0.04%,0.00%
n-Pentacosane (C25),Aliphatic,Lipid,0.01%,0.00%,0.14%,0.05%,0.00%,0.00%,0.00%,0.05%,0.09%,0.09%,0.03%,0.00%
"2-Butenedioic acid, 2-methyl-, (E)-",FAME,Lipid,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
"9,12-Octadecadienoic acid (Z,Z)-, ME ? (C18:2n6c Linoleic acid ME))",FAME,Lipid,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.22%,0.00%,0.00%,0.00%
"9-Octadecenoic acid, methyl ester, (E)-",FAME,Lipid,0.00%,0.00%,0.00%,0.00%,0.00%,0.77%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
C14_alkene_#3,other,Lipid,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
"Pyrrolidine, 1-nitroso",Aromatic,N-Bearing,0.13%,0.26%,0.29%,0.00%,0.00%,0.17%,0.00%,0.00%,0.14%,0.00%,0.00%,0.40%
"Pyrazolo[5,1-c][1,2,4]benzotriazin-8-ol",Aromatic,N-Bearing,0.13%,0.18%,0.25%,0.31%,0.00%,0.35%,0.17%,0.39%,0.39%,0.32%,0.27%,0.16%
"2,5-Furandione, 3-methyl-",Aromatic,N-Bearing,0.03%,0.00%,0.21%,0.07%,0.04%,0.00%,0.03%,0.00%,0.00%,0.03%,0.01%,0.00%
Diethyltoluamide (DEET),Aromatic,N-Bearing,0.01%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
N-Butyl-tert-butylamine,Aliphatic,N-Bearing,0.00%,0.03%,0.00%,0.00%,0.02%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.02%
2-Pyrimidinamine,Aromatic,N-Bearing,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%
3-Phenylpyridine,Aromatic,N-Bearing,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
3-Pyridinol,Aromatic,N-Bearing,0.00%,0.15%,0.00%,0.14%,0.00%,0.20%,0.16%,0.10%,0.13%,0.00%,0.14%,0.10%
4-Amino-2(1H)-pyridinone,Aromatic,N-Bearing,0.00%,0.00%,1.39%,0.00%,0.00%,1.49%,0.00%,1.28%,0.00%,0.00%,0.00%,0.00%
"Dimethylpyrrole (2,5 or 2,4)",Aromatic,N-Bearing,0.00%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
N-Isopropyl-4-piperidone,Aromatic,N-Bearing,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.17%,0.00%,0.00%
"Phenol, 4-methyl-",Aromatic,Phenol,0.59%,1.25%,2.07%,1.66%,0.79%,1.20%,0.99%,1.13%,1.03%,1.45%,0.86%,0.87%
Phenol,Aromatic,Phenol,0.22%,0.27%,0.49%,0.34%,0.38%,0.18%,0.31%,0.18%,0.23%,0.54%,0.30%,0.22%
p-isopropenylphenol,Aromatic,Phenol,0.00%,0.00%,0.00%,0.00%,0.00%,0.20%,0.00%,0.09%,0.22%,0.00%,0.00%,0.00%
"Benzene, 1,4-dimethoxy-",Aromatic,Phenol+TMAH,0.02%,0.02%,0.02%,0.00%,0.03%,0.01%,0.03%,0.01%,0.01%,0.04%,0.02%,0.01%
"Benzofuran, 2,3-dihydro-",Aromatic,Polysaccharide,1.55%,2.68%,3.93%,2.78%,0.89%,1.58%,3.22%,1.57%,2.61%,1.66%,1.71%,1.68%
"4H-Pyran-4-one, 3-hydroxy-2-methyl-",Aromatic,Polysaccharide,0.19%,0.33%,0.32%,0.19%,0.14%,0.14%,0.22%,0.03%,0.10%,0.17%,0.15%,0.19%
3-Furaldehyde,Aromatic,Polysaccharide,0.19%,0.35%,0.31%,0.28%,0.06%,0.29%,0.13%,0.07%,0.56%,0.23%,0.23%,0.33%
