,,control,,,,,,EAB,,,MeJa,,,,,,,,
,TYVEX,N,,,Y,,,Y,,,N,,,Y,,,,,
,preYN,N,Y,,N,Y,,N,Y,,N,Y,,N,Y,,,,
,"Sample taken, July",N,N,Y,N,N,Y,N,N,Y,N,N,Y,N,N,Y,,,
Tree size,S,0,1,1,2,0,0,2,1,1,0,1,1,2,0,0,,,
,SM,2,0,0,0,1,1,2,1,1,1,0,1,1,1,0,,,
,ML,2,0,0,0,1,1,2,1,1,1,0,1,1,1,0,,,
,L,2,0,0,0,1,1,2,1,1,1,1,0,1,0,1,,,
,,,,,,,,,,,,,,,,,,,
,,6,1,1,2,3,3,8,4,4,3,2,3,5,2,1,,12,definitely do
,,,,,,,,,,,,,,,,,,,
,,,1,,,3,,,4,,,2,,,2,,,12,"extra pre-treatments not processed, and not reflected here"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
