Compound,Type,Source,16iih,21iih,23iih,28iih,34iih,35iih,3iih,41iih,42iih,44iih,4iih,6iih
"Phenol, 3,4-dimethyl-",Aromatic,Aromatic,1.9305537723354718E-3,3.0522710710436884E-3,1.2939591204394536E-2,9.5952326843925934E-3,8.0120676725750368E-3,6.2224330610547484E-3,7.2747089223330645E-3,6.249927507550955E-3,5.6749485006752729E-3,2.3089551648028525E-3,1.1231277583238931E-3,4.2549298497569603E-3
m-xylene,Aromatic,Aromatic,1.6165882799487342E-4,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"Benzene, 1,2,3-trimethyl-",Aromatic,Aromatic,7.4149297138144423E-5,0.00000,0.00000,0.00000,1.1297591826077029E-4,0.00000,1.3575126471139379E-4,0.00000,0.00000,2.6953517434025133E-4,0.00000,0.00000
2H-1-Benzopyran-2-one,Aromatic,Aromatic,0.00000,5.6798783408986905E-4,3.6808740028034941E-4,4.9419055554954336E-4,0.00000,4.3303452650600443E-4,3.9816040798126503E-4,4.2656713816873848E-4,0.00000,3.7226011840699045E-4,0.00000,4.9799077551922232E-4
Benzaldehyde,Aromatic,Aromatic,0.00000,0.00000,0.00000,0.00000,1.5678290697413022E-4,0.00000,3.0203032579329242E-4,0.00000,0.00000,2.9403837200754688E-4,0.00000,0.00000
"Benzene, (1-methylethyl)-",Aromatic,Aromatic,0.00000,0.00000,4.5100128566773185E-4,1.55110904296572E-4,0.00000,0.00000,6.6251813399818989E-5,0.00000,0.00000,0.00000,0.00000,0.00000
Benzofuran,Aromatic,Aromatic,0.00000,0.00000,0.00000,0.00000,7.6662230248379843E-5,0.00000,0.00000,0.00000,0.00000,1.423070326062166E-4,0.00000,0.00000
Fluorene,Aromatic,Aromatic,0.00000,1.0351180153974249E-3,3.504996064102986E-4,1.1398847850631803E-3,0.00000,5.5982391489740207E-4,9.0933861529163306E-4,2.3293441477528868E-4,4.4755464692213995E-4,1.3571001784963704E-3,1.4920383358755368E-3,0.00000
Naphthalene,Aromatic,Aromatic,0.00000,0.00000,0.00000,0.00000,3.4584464773705192E-5,0.00000,0.00000,0.00000,0.00000,0.00000,1.3034840406824744E-4,0.00000
"Naphthalene, 1,2-dihydro-4-methyl-",Aromatic,Aromatic,0.00000,0.00000,0.00000,4.7495199377632511E-4,0.00000,0.00000,0.00000,0.00000,0.00000,4.1466949898500202E-4,0.00000,0.00000
"Phenol, 2,6-dimethoxy-4-(2-propenyl)- (Methoxyeugenol)",Aromatic,Lignin,0.18638,0.19906,0.17588,0.18277,0.23517,0.19018,0.18966,0.26169,0.21212,0.18000,0.20659,0.19160
