tree_no,DBH,DBHtrt,INNOC_TYPE,tyvexYN,preYN,process,rand
1,,S,MeJa,Y,N,,0.857183477
2,,S,EAB,Y,N,,0.315697852
3,,S,MeJa,N,Y,7/31/2018,0.849375679
4,,S,control,N,Y,7/31/2018,0.742105736
5,,S,MeJa,Y,N,,0.380224898
6,,S,EAB,Y,Y,7/31/2018,0.062263341
7,,S,control,N,Y,,0.661708441
8,,S,control,Y,N,,0.63417981
9,,S,control,Y,N,,0.351170394
10,,S,MeJa,N,Y,,0.518709711
11,,S,EAB,Y,Y,,0.490255409
12,,S,EAB,Y,N,,0.388967217
13,,SM,MeJa,Y,Y,,0.52055578
14,,SM,control,N,N,,0.818044361
15,,SM,EAB,Y,N,,0.854335588
16,,SM,MeJa,N,Y,7/31/2018,0.396228438
17,,SM,MeJa,N,N,,0.819840666
18,,SM,EAB,Y,Y,,0.454258216
19,,SM,EAB,Y,N,,0.973641229
20,,SM,control,N,N,,0.017317355
21,,SM,EAB,Y,Y,7/31/2018,0.67095951
22,,SM,MeJa,Y,N,,0.652154791
23,,SM,control,Y,Y,7/31/2018,0.269181394
24,,SM,control,Y,Y,,0.608759885
25,,ML,MeJa,Y,Y,,0.182596238
26,,ML,MeJa,Y,N,,0.972906941
27,,ML,EAB,Y,N,,0.981459242
28,,ML,MeJa,N,Y,7/31/2018,0.867233838
29,,ML,EAB,Y,N,,0.017291689
30,,ML,MeJa,N,N,,0.940467095
31,,ML,control,N,N,,0.216878182
32,,ML,EAB,Y,Y,,0.874955262
33,,ML,control,Y,Y,,0.808179453
34,,ML,control,Y,Y,7/31/2018,0.834897451
35,,ML,EAB,Y,Y,7/31/2018,0.802170327
36,,ML,control,N,N,,0.264096098
37,,L,MeJa,N,N,,0.643626116
38,,L,control,Y,Y,,0.178467761
39,,L,EAB,Y,N,,0.205139589
40,,L,control,N,N,,0.177997781
41,,L,MeJa,Y,Y,7/31/2018,0.950448121
42,,L,control,Y,Y,7/31/2018,0.493752279
43,,L,EAB,Y,Y,,0.337037191
44,,L,EAB,Y,Y,7/31/2018,0.414181517
45,,L,MeJa,Y,N,,0.581766532
46,,L,MeJa,N,Y,,0.24560048
47,,L,control,N,N,,0.952140323
48,,L,EAB,Y,N,,0.478682986
